epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,48.5732,0.95445,2.00346,1.32464,1.18944,0.70189,0.49092,0.72558,0.48278,0.93368,0.36352,0.63149,0.40948,1.80897,2.83792,1.42876,1.50379,2.35417e-05,2.35417e-05,2.35417e-05
29,49.5994,0.88922,2.31328,1.73375,1.2321,0.70191,0.4935,0.71493,0.47526,0.94127,0.36253,0.63587,0.40973,1.85704,2.92367,1.39947,1.56736,2.40837e-05,2.40837e-05,2.40837e-05
30,50.7622,0.55978,2.015,1.4751,1.07782,0.70191,0.4935,0.71493,0.47526,0.94127,0.36253,0.63587,0.40973,1.85704,2.92367,1.39947,1.56736,2.46022e-05,2.46022e-05,2.46022e-05
31,51.774,0.7675,1.80606,1.57147,1.14889,0.69605,0.49942,0.70519,0.45599,0.93602,0.36301,0.62899,0.42545,1.8866,2.95944,1.42467,1.602,2.50971e-05,2.50971e-05,2.50971e-05
32,52.7387,0.63862,2.17365,1.36696,1.06687,0.69605,0.49942,0.70519,0.45599,0.93602,0.36301,0.62899,0.42545,1.8866,2.95944,1.42467,1.602,2.55685e-05,2.55685e-05,2.55685e-05
33,53.851,0.68045,1.57752,0.98539,1.06892,0.68985,0.5,0.74055,0.47748,0.93063,0.36372,0.6403,0.42652,1.87894,2.98595,1.45861,1.58454,2.60163e-05,2.60163e-05,2.60163e-05
34,55.0763,0.98531,2.05186,1.52442,1.22745,0.68985,0.5,0.74055,0.47748,0.93063,0.36372,0.6403,0.42652,1.87894,2.98595,1.45861,1.58454,2.64405e-05,2.64405e-05,2.64405e-05
35,56.2875,0.64204,1.68322,1.01998,0.98459,0.67975,0.5,0.66408,0.40457,0.92747,0.36423,0.55443,0.33604,1.85409,2.9874,1.49276,1.5742,2.68412e-05,2.68412e-05,2.68412e-05
36,57.3158,0.46595,1.9851,1.36012,0.99528,0.67975,0.5,0.66408,0.40457,0.92747,0.36423,0.55443,0.33604,1.85409,2.9874,1.49276,1.5742,2.72183e-05,2.72183e-05,2.72183e-05
37,58.5195,0.64257,1.864,1.15542,1.06961,0.84737,0.5,0.6249,0.36485,0.91955,0.36484,0.50303,0.31337,1.8387,2.93103,1.55862,1.54722,2.75718e-05,2.75718e-05,2.75718e-05
38,59.7446,0.66152,2.06998,1.27627,1.01989,0.84737,0.5,0.6249,0.36485,0.91955,0.36484,0.50303,0.31337,1.8387,2.93103,1.55862,1.54722,2.79018e-05,2.79018e-05,2.79018e-05
39,60.9644,0.56307,1.54245,0.83184,0.92847,0.83283,0.5,0.59318,0.32429,0.91424,0.36522,0.46051,0.26063,1.8211,2.82025,1.60264,1.51397,2.82082e-05,2.82082e-05,2.82082e-05
40,62.0512,0.93196,1.73678,1.15998,1.18715,0.83283,0.5,0.59318,0.32429,0.91424,0.36522,0.46051,0.26063,1.8211,2.82025,1.60264,1.51397,2.84911e-05,2.84911e-05,2.84911e-05
41,63.063,0.56215,1.68619,0.90709,0.93706,0.8182,0.5,0.59457,0.32441,0.73307,0.43574,0.46285,0.261,1.81813,2.82734,1.64468,1.50847,2.87504e-05,2.87504e-05,2.87504e-05
